Date,Total invested,Total Value,Total Gain,Total Daily Gain,%Total Gain,%Daily Gain,% cummulating p.a.,% average p.a.,% cummulative p.a. using average productivity,% cummulative p.a. using daily productivity
2021-05-14,0.0,0.0,0.0,,,,,,,
2021-05-15,10000.0,9994.5205078125,-5.4794921875,-5.4794921875,-0.054794921875000006,-0.054794921875000006,-18.131533,-20.000147,,
2021-05-16,10000.0,9989.041015625,-10.958984375,-5.4794921875,-0.10958984375000001,-0.054794921875000006,-18.136023,-20.000147,,
2021-05-17,10000.0,9983.5615234375,-16.4384765625,-5.4794921875,-0.164384765625,-0.054794921875000006,-18.140516,-20.000147,,
2021-05-18,10000.0,9978.08203125,-21.91796875,-5.4794921875,-0.21917968750000003,-0.054794921875000006,-18.145014,-20.000147,,
2021-05-19,10000.0,9972.6025390625,-27.3974609375,-5.4794921875,-0.273974609375,-0.054794921875000006,-18.149513,-20.000147,,
2021-05-20,40000.0,39950.68359375,-49.31640625,-21.9189453125,-0.123291015625,-0.05479736328125,-7.230133,-7.5002036,,
2021-05-21,40000.0,39928.765625,-71.234375,-21.91796875,-0.1780859375,-0.054794921875000006,-8.875354,-9.28591,,
2021-05-22,100000.0,99873.96875,-126.03125,-54.796875,-0.12603124999999998,-0.054796874999999995,-5.311581,-5.4545856,,
2021-05-23,100000.0,100991.809751144,991.8097511439992,1117.8410011439992,0.9918097511439992,1.1178410011439992,43.336285,36.16261,,332.0762945360749
2021-05-24,100000.0,101547.34089814928,1547.340898149283,555.5311470052839,1.547340898149283,0.5555311470052839,86.40046,62.75327,111.71967070494296,817.0511417573891
2021-05-25,100000.0,102035.48139496264,2035.4813949626405,488.14049681335746,2.0354813949626402,0.48814049681335747,108.65051,74.295074,135.76022264737077,647.943469764553
2021-05-26,250000.0,252483.1804730796,2483.180473079614,447.6990781169734,0.9932721892318456,0.17907963124678936,38.8133,32.958576,64.69989482261447,238.8923448016299
2021-05-27,250000.0,253256.7216675705,3256.7216675704985,773.5411944908847,1.3026886670281994,0.30941647779635384,48.24199,39.623447,76.90101380595438,195.36933611675883
2021-05-28,250000.0,253390.3639100012,3390.363910001208,133.6422424307093,1.3561455640004831,0.05345689697228372,45.966244,38.076393,74.51939508755932,152.0076020617676
2021-05-29,250000.0,253617.37807059265,3617.3780705926474,227.01416059143958,1.446951228237059,0.09080566423657584,45.431885,37.724087,74.79692900875237,207.78022853433833
2021-05-30,250000.0,254451.24780490127,4451.247804901272,833.8697343086242,1.7804991219605086,0.3335478937234497,53.640137,43.325478,85.2119238704857,178.39552013495936
2021-05-31,250000.0,255145.52965596665,5145.529655966646,694.2818510653742,2.0582118623866585,0.2777127404261497,59.16368,46.952957,93.63394415306286,156.3344138818764
2021-06-01,250000.0,255549.04474219427,5549.044742194266,403.5150862276205,2.2196178968777067,0.1614060344910482,60.216053,47.6565,95.94382171663109,162.2435342092436
2021-06-02,250000.0,256368.23427382385,6368.234273823851,819.189531629585,2.5472937095295403,0.327675812651834,66.54,51.653458,104.05498107008518,152.21077483861004
2021-06-03,250000.0,257102.02081878777,7102.020818787772,733.7865449639212,2.840808327515109,0.29351461798556844,71.279465,54.57342,109.56664229763979,177.37043157740206
2021-06-05,250000.0,257450.93976725367,7450.9397672536725,348.91894846590003,2.980375906901469,0.13956757938636002,66.60379,51.801773,103.76543213548337,155.91877441920775
2021-06-06,250000.0,258019.32681413155,8019.326814131549,568.3870468778769,3.2077307256526195,0.22735481875115074,68.848946,53.21917,107.01343458784112,160.07137425189777
2021-06-07,250000.0,258388.3519513104,8388.351951310411,369.02513717886177,3.3553407805241644,0.14761005487154472,68.83297,53.2478,107.61226488702692,150.12412165851345
2021-06-08,250000.0,258359.07164533995,8359.071645339951,-29.280305970460176,3.34362865813598,-0.011712122388184072,64.90407,50.85102,103.30480079796635,163.77319073273674
2021-06-09,250000.0,259449.8574336956,9449.857433695608,1090.7857883556571,3.779942973478243,0.43631431534226284,71.89215,55.18717,112.1532208640279,162.19321376015822
2021-06-10,250000.0,260405.025653439,10405.025653438992,955.1682197433838,4.162010261375597,0.3820672878973535,77.260544,58.428223,119.10260734282438,140.49645828858655
2021-06-11,250000.0,260802.3494685155,10802.349468515487,397.3238150764955,4.320939787406195,0.1589295260305982,77.155785,58.412704,119.57906093625877,150.39026136701835
2021-06-12,250000.0,260806.823980634,10806.823980634013,4.474512118526036,4.322729592253605,0.0017898048474104143,73.61316,56.34987,115.63757241524786,203.52979256309513
2021-06-13,250000.0,261774.8542220939,11774.854222093913,968.0302414598991,4.7099416888375645,0.38721209658395966,78.47282,59.2803,121.84928155597552,162.2387649070554
2021-06-14,250000.0,263225.55819393706,13225.55819393706,1450.7039718431479,5.290223277574825,0.5802815887372591,87.235374,64.36438,132.90379182811984,203.21470192582254
2021-06-15,250000.0,263827.52771171986,13827.527711719857,601.9695177827962,5.531011084687942,0.24078780711311848,88.487175,65.12319,134.85035098351722,176.99583437104934
2021-06-16,250000.0,263734.63621207484,13734.636212074838,-92.89149964501848,5.493854484829935,-0.03715659985800739,84.04957,62.664276,129.74329791058642,152.51946882496003
2021-06-17,250000.0,263869.87984436634,13869.87984436634,135.24363229150185,5.547951937746536,0.05409745291660074,81.70594,61.363712,127.3439461905601,161.78519175716372
2021-06-18,250000.0,263748.3273218066,13748.327321806573,-121.55252255976666,5.49933092872263,-0.04862100902390667,77.66113,59.036934,122.54751806396507,211.6990756074161
2021-06-19,250000.0,264010.2129025592,14010.2129025592,261.885580752627,5.60408516102368,0.1047542323010508,76.585915,58.442604,121.60767128182677,145.3305392580791
